Title,Author,Runtime,Price,Language,Release Date,Rating
Enchantra,Kaylie Smith,11 hrs and 57 mins,$24.95,English,04-08-25,5
Control,Sean Oswald,15 hrs and 44 mins,$49.90,English,05-06-25,Not rated yet
Shadows at Midnight,"Robert J. Bradshaw, Velox Books",10 hrs and 15 mins,$24.95,English,04-17-25,5
Denied Access,"Vince Flynn, Don Bentley",13 hrs,$22.49,English,09-30-25,Not rated yet
The Legend of Kazro - Transcendent,D. R. R. Hatch,13 hrs and 45 mins,$24.95,English,04-14-25,4.5
镜花缘 [Mirror Flower Fate],qing li ru zhen,35 hrs and 17 mins,$29.95,Mandarin Chinese,02-22-25,5
Great Big Beautiful Life,Emily Henry,12 hrs and 2 mins,$20.25,English,04-22-25,Not rated yet
Trim Healthy Wisdom,"Pearl Barrett, Serene Allison",48 hrs and 43 mins,$29.95,English,04-17-25,Not rated yet
The Book of Alchemy,Suleika Jaouad,9 hrs and 19 mins,$20.25,English,04-22-25,Not rated yet
Prepped for the Fall,"Robert J. Walker, J.S Donovan, Carter Woods",28 hrs and 24 mins,$29.95,English,04-16-25,Not rated yet
Metabolic Freedom,Ben Azadi,9 hrs and 5 mins,$18.00,English,05-13-25,Not rated yet
Finding Her Panthers: Embracing the Bond,T. D. Edwards,8 hrs and 52 mins,$19.95,English,04-18-25,Not rated yet
The Housemaid's Wedding,Freida McFadden,2 hrs and 23 mins,$7.79,English,06-24-25,Not rated yet
The Hundredth Chance,Ethel M. Dell,16 hrs,$24.95,English,03-12-25,Not rated yet
Jagged Harts,Katelyn Taylor,11 hrs and 38 mins,$24.95,English,04-18-25,5
Star Wars: Shadows of the Empire,Steve Perry,13 hrs and 31 mins,$22.50,English,06-03-25,Not rated yet
Mark of the Fool 8,J.M. Clarke,16 hrs and 14 mins,$24.95,English,03-19-25,5
Undeniable,Cameron Hanes,8 hrs and 17 mins,$14.99,English,05-06-25,Not rated yet
The Silver Tomb,Hayriye Erkizan,2 hrs and 37 mins,$6.95,English,04-02-25,Not rated yet
(蓝皮）国学 儒林外史 [(Blue Skin) Chinese Studies Scholars],吴敬梓,29 hrs and 38 mins,$29.95,Mandarin Chinese,02-27-25,5
How to Win Friends & Influence People,Dale Carniege,7 hrs and 16 mins,$19.95,English,04-14-25,Not rated yet
Write Your Why (What Will Follow),Julia Whelan,21 mins,$3.42,English,04-18-25,5
Lights Out,Navessa Allen,13 hrs and 38 mins,$27.29,English,08-06-24,5
Resort Robbery,Jasmine Webb,5 hrs and 42 mins,$19.95,English,04-16-25,5
Marble Hall Murders,Anthony Horowitz,17 hrs and 38 mins,$21.59,English,05-13-25,Not rated yet
My Friends,Fredrik Backman,13 hrs and 7 mins,$22.49,English,05-06-25,Not rated yet
My Next Breath,Jeremy Renner,6 hrs and 35 mins,$14.99,English,04-29-25,Not rated yet
The Bible Says So,Dan McClellan,9 hrs and 14 mins,$20.24,English,04-29-25,Not rated yet
Atmosphere,Taylor Jenkins Reid,14 hrs,$22.50,English,06-03-25,Not rated yet
The Fate of the Day,Rick Atkinson,32 hrs and 26 mins,$32.40,English,04-29-25,Not rated yet
The Dungeon Anarchist's Cookbook,Matt Dinniman,16 hrs and 54 mins,$29.95,English,05-14-21,5
The Blind Man's Eyes,"Edwin Balmer, William MacHarg",11 hrs and 26 mins,$24.95,English,01-24-25,Not rated yet
The Woman Next Door,"Elle Gray, K.S. Gray",7 hrs and 12 mins,$19.95,English,04-17-25,Not rated yet
The Primal Hunter 11,Zogarth,23 hrs and 31 mins,$29.95,English,03-05-25,5
Ben Hur,Lew Wallace,22 hrs and 34 mins,$29.95,English,01-28-25,5
Cole,C.J. Petit,12 hrs and 47 mins,$24.95,English,04-16-25,5
Bourbon and Lies,Victoria Wilder,10 hrs and 58 mins,$24.95,English,04-04-25,5
Erotic Sex Short Stories,Emily Reid,10 hrs and 11 mins,$25.00,English,04-11-25,5
Carl's Doomsday Scenario,Matt Dinniman,11 hrs and 28 mins,$24.95,English,04-22-21,5
Oberon’s Bathtime Stories,Kevin Hearne,4 hrs and 29 mins,$14.95,English,04-10-25,4.5
